"movie_name","user_id","score"
"Marty Supreme","Jess",NULL
"Bugonia","Jess","3.0"
"Sinners","Jess","5.0"
"One Battle After Another","Jess","4.0"
"Frankenstein","Jess","3.0"
"F1","Jess",NULL
"Marty Supreme","AJ","3.8"
"Bugonia","AJ","3.0"
"Sinners","AJ","5.0"
"One Battle After Another","AJ","3.8"
"Frankenstein","AJ","4.0"
"F1","AJ",NULL
"Marty Supreme","Celia","3.0"
"Bugonia","Celia","3.0"
"Sinners","Celia",NULL
"One Battle After Another","Celia","3.0"
"Frankenstein","Celia","3.0"
"F1","Celia","3.0"
"Marty Supreme","Nola","4.0"
"Bugonia","Nola","3.0"
"Sinners","Nola","4.0"
"One Battle After Another","Nola","3.0"
"Frankenstein","Nola","4.0"
"F1","Nola","2.0"
"Marty Supreme","Levi","5.0"
"Bugonia","Levi",NULL
"Sinners","Levi","4.0"
"One Battle After Another","Levi","3.0"
"Frankenstein","Levi","4.0"
"F1","Levi","5.0"
